sp_danceability,sp_energy,sp_key,sp_loudness,sp_mode,sp_speechiness,sp_acousticness,sp_instrumentalness,sp_liveness,sp_valence,sp_tempo,sp_time_signature,track_id,artist_ids,genre_list,track_name,artist_names,filename,duration,ks_key,key_corr,camelot_key,overall_tempo,tempo_time_1,tempo_time_2,tempo_time_3,chroma_time_1,chroma_time_2,chroma_time_3,combined_segments,tempo_seg_0,chroma_seg_0,tempo_seg_1,chroma_seg_1,tempo_seg_2,chroma_seg_2,tempo_seg_3,chroma_seg_3
0.567,0.938,10,-3.503,1,0.052,0.0179,0.00943,0.741,0.288,127.97,4,0HObjm9VehCggBxMmzWOoZ,"['4xnMDfgEmXZEEDdITKcGuE', '4IRiL3zGMaYYVa9nDXTu1Q']","['progressive electro house', 'progressive house', 'edm', 'pop dance', 'electro house', 'pop edm']",Escape (with Nomra),"Audien, Nomra",Audien - Escape (with Nomra).mp3,148.594,D major,0.6653689391015524,10B,127.8409090909091,7.829333333333333,17.493333333333332,49.248,39.89333333333333,66.112,99.69066666666669,"['0', '7.829t', '17.493t', '39.893c', '49.248t', '66.112c', '99.691c', '148.594']","(0, 7.829333333333333)","(0, 39.89333333333333)","(7.829333333333333, 17.493333333333332)","(39.89333333333333, 66.112)","(17.493333333333332, 49.248)","(66.112, 99.69066666666669)","(49.248, 148.594)","(99.69066666666669, 148.594)"
0.278,0.286,1,-7.981,1,0.0374,0.39,0.0291,0.107,0.036,124.648,4,3EN0qzn6u3Pa1FFd8m1IZO,"['4xnMDfgEmXZEEDdITKcGuE', '5140yrzsnpa1lfbprImDw0']","['progressive electro house', 'progressive house', 'edm', 'pop dance', 'electro house', 'pop edm']",See You On The Other Side [Upmost Remix],"Audien, Upmost",Audien - See You On The Other Side [Upmost Remix].mp3,199.462,B major,0.885647897549948,1B,125.0,90.72,129.73866666666666,191.11466666666664,61.333333333333336,91.40266666666666,159.2,"['0', '61.333c', '90.72tc', '129.739t', '159.2c', '191.115t', '199.462']","(0, 90.72)","(0, 61.333333333333336)","(90.72, 129.73866666666666)","(61.333333333333336, 91.40266666666666)","(129.73866666666666, 191.11466666666664)","(91.40266666666666, 159.2)","(191.11466666666664, 199.462)","(159.2, 199.462)"
0.442,0.277,2,-10.431,1,0.0336,0.466,0.432,0.16,0.0385,120.044,4,3nH63EMuuXzpGnNl93KEzK,['4xnMDfgEmXZEEDdITKcGuE'],"['progressive electro house', 'progressive house', 'edm', 'pop dance', 'electro house', 'pop edm']",See You On The Other Side,Audien,Audien - See You On The Other Side.mp3,181.253,A# major,0.7863726568099191,6B,119.6808510638298,28.096,82.38933333333334,147.872,32.256,63.84,112.02133333333332,"['0', '28.096tc', '63.84c', '82.389t', '112.021c', '147.872t', '181.253']","(0, 28.096)","(0, 32.256)","(28.096, 82.38933333333334)","(32.256, 63.84)","(82.38933333333334, 147.872)","(63.84, 112.02133333333332)","(147.872, 181.253)","(112.02133333333332, 181.253)"
0.644,0.616,1,-3.928,0,0.0391,0.0927,0.0,0.105,0.467,124.957,4,3Dr0xDJwXy6JkiHNJfv5zd,"['4xnMDfgEmXZEEDdITKcGuE', '3SHmKHBjw1ks5yXtblJWPn']","['progressive electro house', 'singer-songwriter pop', 'progressive house', 'edm', 'pop dance', 'electro house', 'pop edm']",Wish It Was You,"Audien, Cate Downey","Audien, Cate Downey - Wish It Was You.mp3",188.361,G# major,0.6749126093368538,4B,125.0,14.410666666666666,93.52533333333334,145.10933333333332,30.592,124.128,153.44,"['0', '14.411t', '30.592c', '93.525t', '124.128c', '145.109t', '153.44c', '188.361']","(0, 14.410666666666666)","(0, 30.592)","(14.410666666666666, 93.52533333333334)","(30.592, 124.128)","(93.52533333333334, 145.10933333333332)","(124.128, 153.44)","(145.10933333333332, 188.361)","(153.44, 188.361)"
0.549,0.835,2,-2.632,1,0.0656,0.0692,0.0,0.212,0.423,126.08,4,33lXq3csEWwYNn6x0sM3Et,"['4xnMDfgEmXZEEDdITKcGuE', '32WkQRZEVKSzVAAYqukAEA']","['progressive electro house', 'country road', 'progressive house', 'contemporary country', 'edm', 'country pop', 'pop dance', 'country', 'country dawn', 'electro house', 'pop edm']",Something Better,"Audien, Lady A","Audien, Lady A - Something Better.mp3",209.179,A# major,0.6745287880617935,6B,125.0,100.78933333333332,114.29333333333334,129.48266666666666,23.157333333333334,160.3733333333333,190.592,"['0', '23.157c', '100.789t', '114.293t', '129.483t', '160.373c', '190.592c', '209.179']","(0, 100.78933333333332)","(0, 23.157333333333334)","(100.78933333333332, 114.29333333333334)","(23.157333333333334, 160.3733333333333)","(114.29333333333334, 129.48266666666666)","(160.3733333333333, 190.592)","(129.48266666666666, 209.179)","(190.592, 209.179)"
0.713,0.719,4,-6.972,1,0.0455,0.164,0.0335,0.0853,0.24,119.993,4,1nV6VafLPuRSsXgbDY3i6L,"['4xnMDfgEmXZEEDdITKcGuE', '7CWqlWlNqgpEYr4vwcVzCJ']","['progressive electro house', 'progressive house', 'edm', 'pop dance', 'electro house', 'pop edm', 'australian electropop']",One Last Dance,"Audien, XIRA","Audien, XIRA - One Last Dance.mp3",180.509,F# minor,0.5892932503745708,11A,119.6808510638298,35.264,82.74133333333333,100.69333333333331,35.82933333333333,81.80266666666667,115.76533333333332,"['0', '35.264tc', '82.741t', '100.693t', '115.765c', '180.509']","(0, 35.264)","(0, 35.82933333333333)","(35.264, 82.74133333333333)","(35.82933333333333, 81.80266666666667)","(82.74133333333333, 100.69333333333331)","(81.80266666666667, 115.76533333333332)","(100.69333333333331, 180.509)","(115.76533333333332, 180.509)"
0.742,0.604,1,-8.452,1,0.0522,0.251,0.000272,0.209,0.497,74.94,4,08tdFfSLp50Wv6HIcfH9YP,['0Wwji82sLA0Hcvtuak3omb'],"['alternative r&b', 'modern indie pop']",Baby Blues,AUDREY NUNA,AUDREY NUNA - Baby Blues.mp3,105.562,B minor,0.5655081758246936,10A,100.44642857142856,18.666666666666668,35.25333333333333,40.98133333333333,16.469333333333335,53.909333333333336,67.91466666666666,"['0', '18.667t', '35.253t', '40.981t', '53.909c', '67.915c', '105.562']","(0, 18.666666666666668)","(0, 16.469333333333335)","(18.666666666666668, 35.25333333333333)","(16.469333333333335, 53.909333333333336)","(35.25333333333333, 40.98133333333333)","(53.909333333333336, 67.91466666666666)","(40.98133333333333, 105.562)","(67.91466666666666, 105.562)"
0.852,0.549,10,-7.31,0,0.317,0.0988,1.35e-06,0.122,0.666,162.027,4,01ukVTKa6DhejzNulpoG2t,['0Wwji82sLA0Hcvtuak3omb'],"['alternative r&b', 'modern indie pop']",damn Right,AUDREY NUNA,AUDREY NUNA - damn Right.mp3,163.598,F# minor,0.2934839139502561,11A,160.71428571428572,71.92533333333333,77.13066666666667,148.81066666666666,10.549333333333331,101.01333333333334,112.04266666666666,"['0', '10.549c', '71.925t', '77.131t', '101.013c', '112.043c', '148.811t', '163.598']","(0, 71.92533333333333)","(0, 10.549333333333331)","(71.92533333333333, 77.13066666666667)","(10.549333333333331, 101.01333333333334)","(77.13066666666667, 148.81066666666666)","(101.01333333333334, 112.04266666666666)","(148.81066666666666, 163.598)","(112.04266666666666, 163.598)"
0.759,0.939,7,-5.072,1,0.0826,0.00393,0.0714,0.0953,0.123,122.02,4,0dwy0PQvzCgRID2ybdsCiA,"['3SvCpwSeoWCcjfo8zjPZKB', '1Bk2KyFVMN5PeyVyDIiLqF']","['canadian electronic', 'brostep', 'afroswing', 'birmingham hip hop', 'trap queen', 'electro house']",Bling,"Autoerotique, Lady Leshurr",Autoerotique - Bling (feat. Lady Leshurr).mp3,255.37,F minor,0.3325498197882743,4A,122.28260869565216,15.850666666666667,183.05066666666667,188.58666666666667,156.85333333333332,159.52,190.41066666666663,"['0', '15.851t', '159.52c', '183.051t', '188.587tc', '255.37']","(0, 15.850666666666667)","(0, 156.85333333333332)","(15.850666666666667, 183.05066666666667)","(156.85333333333332, 159.52)","(183.05066666666667, 188.58666666666667)","(159.52, 190.41066666666663)","(188.58666666666667, 255.37)","(190.41066666666663, 255.37)"
0.893,0.544,10,-6.484,1,0.0328,0.309,0.469,0.583,0.264,118.017,4,2oqDqIxDUoWhDjuW5yNx01,['28yVvEvA2lT3K5RNIhV1Dj'],"['vapor soul', 'indie electropop']",When I'm Alone,BAYNK,BAYNK - When I'm Alone.mp3,183.428,D major,0.3953790961646076,10B,117.1875,98.28266666666669,124.512,163.36,97.73866666666666,128.288,162.624,"['0', '98.283t', '124.512tc', '163.36t', '183.428']","(0, 98.28266666666669)","(0, 97.73866666666666)","(98.28266666666669, 124.512)","(97.73866666666666, 128.288)","(124.512, 163.36)","(128.288, 162.624)","(163.36, 183.428)","(162.624, 183.428)"
0.829,0.985,1,-3.33,1,0.067,0.000347,0.762,0.0326,0.599,124.983,4,58cJhEdo6YCEP1Lw4BJo9g,['1PiNBMw3iIaG021gWeidUY'],['bass house'],Everybody Goes,Bellecour,Bellecour - Everybody Goes.mp3,215.04,G minor,0.224248829106082,6A,125.0,29.30133333333333,37.077333333333335,186.09066666666664,28.874666666666663,68.864,169.024,"['0', '29.301t', '37.077t', '68.864c', '169.024c', '186.091t', '215.04']","(0, 29.30133333333333)","(0, 28.874666666666663)","(29.30133333333333, 37.077333333333335)","(28.874666666666663, 68.864)","(37.077333333333335, 186.09066666666664)","(68.864, 169.024)","(186.09066666666664, 215.04)","(169.024, 215.04)"
0.694,0.669,7,-5.748,1,0.0328,0.0382,0.021,0.0975,0.338,121.987,4,2Ob2E0owyR8gdF0YGf0fZp,['0PxzGnCYBpSuaI49OR94cA'],[],Joypunks,Big Wild,Big Wild - Joypunks.mp3,191.884,C major,0.7212845126163103,8B,122.28260869565216,24.24533333333333,142.912,173.36533333333333,79.328,111.06133333333334,172.608,"['0', '24.245t', '79.328c', '111.061c', '142.912t', '173.365t', '191.884']","(0, 24.24533333333333)","(0, 79.328)","(24.24533333333333, 142.912)","(79.328, 111.06133333333334)","(142.912, 173.36533333333333)","(111.06133333333334, 172.608)","(173.36533333333333, 191.884)","(172.608, 191.884)"
0.693,0.734,4,-6.189,1,0.202,0.0145,0.0,0.217,0.708,180.06,4,5zwwW9Oq7ubSxoCGyW1nbY,['41MozSoPIsD1dJM0CLPjZF'],"['k-pop', 'pop', 'k-pop girl group']",Pink Venom,BLACKPINK,BLACKPINK - Pink Venom.mp3,181.899,G# minor,0.3889822406605366,1A,90.7258064516129,31.73333333333333,42.26133333333333,138.272,10.421333333333331,73.67466666666667,96.64,"['0', '10.421c', '31.733t', '42.261t', '73.675c', '96.64c', '138.272t', '181.899']","(0, 31.73333333333333)","(0, 10.421333333333331)","(31.73333333333333, 42.26133333333333)","(10.421333333333331, 73.67466666666667)","(42.26133333333333, 138.272)","(73.67466666666667, 96.64)","(138.272, 181.899)","(96.64, 181.899)"
0.804,0.892,7,-3.017,1,0.07,0.0113,0.822,0.133,0.54,126.019,4,3QORLvINZ5ie3lRsTOZJqD,['7kA4sEagpoNK91I7wr9tYr'],"['indonesian edm', 'tech house', 'bass house']",Funk Accelerator,Bleu Clair,Bleu Clair - Funk Accelerator.mp3,219.322,G minor,0.3097365767273036,6A,125.0,94.60266666666666,123.01866666666666,215.7013333333333,108.352,123.44533333333334,153.344,"['0', '94.603t', '108.352c', '123.019tc', '153.344c', '215.701t', '219.322']","(0, 94.60266666666666)","(0, 108.352)","(94.60266666666666, 123.01866666666666)","(108.352, 123.44533333333334)","(123.01866666666666, 215.7013333333333)","(123.44533333333334, 153.344)","(215.7013333333333, 219.322)","(153.344, 219.322)"
0.685,0.846,7,-3.771,0,0.0462,0.099,0.00168,0.344,0.255,126.046,4,5NAeLHGIbxGcmKMwYxuwWS,"['7kA4sEagpoNK91I7wr9tYr', '596BA0qMEP52RCEOiqIrnr']","['indonesian edm', 'tech house', 'bass house']",Have Me All,"Bleu Clair, Jelita",Bleu Clair - Have Me All (feat. Jelita).mp3,170.005,F minor,0.6010287656995592,4A,125.0,16.810666666666666,32.010666666666665,152.77866666666668,39.946666666666665,123.76533333333332,153.70666666666668,"['0', '16.811t', '32.011t', '39.947c', '123.765c', '152.779tc', '170.005']","(0, 16.810666666666666)","(0, 39.946666666666665)","(16.810666666666666, 32.010666666666665)","(39.946666666666665, 123.76533333333332)","(32.010666666666665, 152.77866666666668)","(123.76533333333332, 153.70666666666668)","(152.77866666666668, 170.005)","(153.70666666666668, 170.005)"
0.685,0.918,1,-4.591,1,0.0437,0.0897,0.00635,0.158,0.217,123.977,4,1E7HbaOLA8FN3iUynKevpg,['7kA4sEagpoNK91I7wr9tYr'],"['indonesian edm', 'tech house', 'bass house']",Hypnotized,Bleu Clair,Bleu Clair - Hypnotized.mp3,160.653,G minor,0.3162453288920172,6A,125.0,94.816,107.712,156.352,32.8,77.92,110.21866666666666,"['0', '32.8c', '77.92c', '94.816t', '107.712tc', '156.352t', '160.653']","(0, 94.816)","(0, 32.8)","(94.816, 107.712)","(32.8, 77.92)","(107.712, 156.352)","(77.92, 110.21866666666666)","(156.352, 160.653)","(110.21866666666666, 160.653)"
0.715,0.948,7,-4.152,1,0.0617,0.0322,0.928,0.0409,0.608,125.999,4,2Oh4jKif9YIlxbg8aX6Km0,['7kA4sEagpoNK91I7wr9tYr'],"['indonesian edm', 'tech house', 'bass house']",Sand Dunes,Bleu Clair,Bleu Clair - Sand Dunes.mp3,200.385,F minor,0.6407929180377344,4A,125.0,100.736,138.98666666666668,152.82133333333334,55.18933333333333,131.456,152.84266666666667,"['0', '55.189c', '100.736t', '131.456c', '138.987t', '152.821tc', '200.385']","(0, 100.736)","(0, 55.18933333333333)","(100.736, 138.98666666666668)","(55.18933333333333, 131.456)","(138.98666666666668, 152.82133333333334)","(131.456, 152.84266666666667)","(152.82133333333334, 200.385)","(152.84266666666667, 200.385)"
0.745,0.987,1,-4.114,0,0.0845,0.00213,0.324,0.34,0.696,126.015,4,533T9iIMBhmRXcKVH48CxO,['7kA4sEagpoNK91I7wr9tYr'],"['indonesian edm', 'tech house', 'bass house']",Step Into It,Bleu Clair,Bleu Clair - Step Into It.mp3,192.996,A minor,0.4524338570863574,8A,125.0,33.632,109.26933333333334,144.77866666666668,30.506666666666668,78.528,140.98133333333334,"['0', '33.632t', '78.528c', '109.269t', '144.779t', '192.996']","(0, 33.632)","(0, 30.506666666666668)","(33.632, 109.26933333333334)","(30.506666666666668, 78.528)","(109.26933333333334, 144.77866666666668)","(78.528, 140.98133333333334)","(144.77866666666668, 192.996)","(140.98133333333334, 192.996)"
0.783,0.954,11,-4.796,0,0.0748,0.00966,0.638,0.0676,0.752,125.983,4,7F2xg9REyaMDf9JHMV8V9S,"['7kA4sEagpoNK91I7wr9tYr', '1XwL3qdo0jPmliKRgxY5TL']","['indonesian edm', 'tech house', 'bmore', 'bass house']",Peanut Butter,"Bleu Clair, Dances With White Girls","Bleu Clair, Dances With White Girls - Peanut Butter.mp3",168.863,A# major,0.4160442033971103,6B,125.0,29.749333333333333,107.24266666666666,153.39733333333334,63.754666666666665,106.08,137.83466666666666,"['0', '29.749t', '63.755c', '107.243t', '137.835c', '153.397t', '168.863']","(0, 29.749333333333333)","(0, 63.754666666666665)","(29.749333333333333, 107.24266666666666)","(63.754666666666665, 106.08)","(107.24266666666666, 153.39733333333334)","(106.08, 137.83466666666666)","(153.39733333333334, 168.863)","(137.83466666666666, 168.863)"
0.796,0.992,1,-3.009,0,0.0589,0.00232,0.728,0.253,0.702,127.994,4,3vq4X1cphzASnVAPR3Tfqg,"['7kA4sEagpoNK91I7wr9tYr', '3kWLEfykUXgiuhbR2NwnLI', '0O6GiRrnADewkp91ELz39s']","['indonesian edm', 'tech house', 'bass house']",Killer Bee,"Bleu Clair, OOTORO, Chyra","Bleu Clair, OOTORO, Chyra - Killer Bee.mp3",166.079,E minor,0.5623718192683088,9A,127.8409090909091,59.68,105.632,134.304,88.87466666666667,120.416,135.168,"['0', '59.68t', '88.875c', '105.632t', '120.416c', '134.304tc', '166.079']","(0, 59.68)","(0, 88.87466666666667)","(59.68, 105.632)","(88.87466666666667, 120.416)","(105.632, 134.304)","(120.416, 135.168)","(134.304, 166.079)","(135.168, 166.079)"
0.657,0.757,0,-5.257,0,0.0584,0.428,0.0,0.0728,0.672,122.056,4,6n7rJUcwmQDestMYXoSoZF,"['2nuKjZLgc7II6FO4Rxjt5e', '2vGaSKEDFsVPBgcnGxqlBN']","['house', 'strut', 'indie poptimism', 'uk dance']",All Cried Out,"Blonde, Alex Newell",Blonde - All Cried Out (feat. Alex Newell) - Radio Edit.mp3,168.058,G minor,0.744874369507647,6A,122.28260869565216,7.904,37.077333333333335,130.944,5.973333333333334,39.2,107.104,"['0', '7.904t', '37.077tc', '107.104c', '130.944t', '168.058']","(0, 7.904)","(0, 5.973333333333334)","(7.904, 37.077333333333335)","(5.973333333333334, 39.2)","(37.077333333333335, 130.944)","(39.2, 107.104)","(130.944, 168.058)","(107.104, 168.058)"
0.894,0.84,8,-7.372,1,0.248,0.0983,0.00027,0.162,0.728,125.029,4,6k560R01qUKlpm9lbIfAXr,"['34KMxwDAHIvM7Kwt1PcClb', '2CgysNw5B7rFNRtRjQbPZ9', '4kubsO16bEfCADaVUyoYb6']","['vapor twitch', 'future bass', 'chillwave']",Fantasy,"Bodysync, Ryan Hemsworth, Giraffage","Bodysync, Ryan Hemsworth, Giraffage - Fantasy.mp3",132.518,E major,0.560267555701723,12B,125.0,14.005333333333333,53.19466666666667,99.98933333333332,22.922666666666668,64.59733333333334,128.71466666666666,"['0', '14.005t', '22.923c', '53.195t', '64.597c', '99.989t', '128.715c', '132.518']","(0, 14.005333333333333)","(0, 22.922666666666668)","(14.005333333333333, 53.19466666666667)","(22.922666666666668, 64.59733333333334)","(53.19466666666667, 99.98933333333332)","(64.59733333333334, 128.71466666666666)","(99.98933333333332, 132.518)","(128.71466666666666, 132.518)"
0.85,0.993,4,-3.463,1,0.17,0.0126,0.419,0.186,0.647,125.05,4,2C4N8mjycDcHBcHoD17sYF,"['0qM78DOdgnNPpq2CpTNgU5', '1PiNBMw3iIaG021gWeidUY']",['bass house'],Tokyo Bill,"Born Dirty, Bellecour","Born Dirty, Bellecour - Tokyo Bill.mp3",184.32,E minor,0.3486383401219881,9A,125.0,30.432,59.989333333333335,123.04,30.336,92.33066666666669,122.48533333333332,"['0', '30.432t', '59.989t', '92.331c', '123.04t', '184.32']","(0, 30.432)","(0, 30.336)","(30.432, 59.989333333333335)","(30.336, 92.33066666666669)","(59.989333333333335, 123.04)","(92.33066666666669, 122.48533333333332)","(123.04, 184.32)","(122.48533333333332, 184.32)"
